yearmonth,bug_count,timestamp,period
2021-01,86,2021-01-01,pre_v2
2021-02,79,2021-02-01,pre_v2
2021-03,70,2021-03-01,pre_v2
2021-04,54,2021-04-01,pre_v2
2021-05,41,2021-05-01,pre_v2
2021-06,57,2021-06-01,pre_v2
2021-07,70,2021-07-01,pre_v2
2021-08,60,2021-08-01,pre_v2
2021-09,60,2021-09-01,pre_v2
2021-10,60,2021-10-01,pre_v2
2021-11,44,2021-11-01,pre_v2
2021-12,52,2021-12-01,pre_v2
2022-01,71,2022-01-01,pre_v2
2022-02,66,2022-02-01,pre_v2
2022-03,62,2022-03-01,pre_v2
2022-04,52,2022-04-01,pre_v2
2022-05,47,2022-05-01,pre_v2
2022-06,45,2022-06-01,pre_v2
2022-07,47,2022-07-01,pre_v2
2022-08,33,2022-08-01,pre_v2
2022-09,71,2022-09-01,pre_v2
2022-10,65,2022-10-01,pre_v2
2022-11,49,2022-11-01,pre_v2
2022-12,64,2022-12-01,pre_v2
2023-01,80,2023-01-01,pre_v2
2023-02,67,2023-02-01,pre_v2
2023-03,83,2023-03-01,pre_v2
2023-04,84,2023-04-01,pre_v2
2023-05,70,2023-05-01,post_v2
2023-06,70,2023-06-01,post_v2
2023-07,41,2023-07-01,post_v2
2023-08,66,2023-08-01,post_v2
2023-09,85,2023-09-01,post_v2
2023-10,48,2023-10-01,post_v2
2023-11,60,2023-11-01,post_v2
2023-12,59,2023-12-01,post_v2
2024-01,72,2024-01-01,post_v2
2024-02,60,2024-02-01,post_v2
2024-03,37,2024-03-01,post_v2
2024-04,53,2024-04-01,post_v2
2024-05,49,2024-05-01,post_v2
2024-06,57,2024-06-01,post_v2
2024-07,30,2024-07-01,post_v2
2024-08,31,2024-08-01,post_v2
2024-09,30,2024-09-01,post_v2
2024-10,41,2024-10-01,post_v2
2024-11,36,2024-11-01,post_v2
2024-12,25,2024-12-01,post_v2
2025-01,28,2025-01-01,post_v2
2025-02,28,2025-02-01,post_v2
2025-03,35,2025-03-01,post_v2
2025-04,29,2025-04-01,post_v2
2025-05,27,2025-05-01,post_v2
2025-06,26,2025-06-01,post_v2
2025-07,30,2025-07-01,post_v2
2025-08,20,2025-08-01,post_v2
2025-09,27,2025-09-01,post_v2
2025-10,32,2025-10-01,post_v2
2025-11,26,2025-11-01,post_v2
2025-12,20,2025-12-01,post_v2
